Bedrooms,Bathrooms,Floor_area,Price_in_taka,City
3,3,1450,9500000,0
3,3,1680,8400000,0
3,2,1000,6500000,0
3,3,1100,6700000,0
3,3,1400,9200000,0
3,2,950,7000000,0
2,2,950,6700000,0
3,3,1150,5750000,0
3,3,1350,10150000,0
4,4,2050,21525000,0
2,2,850,4000000,0
3,3,1120,5600000,0
3,3,1100,8000000,0
3,2,1100,4950000,0
3,3,1450,10150000,0
4,4,1940,13968000,0
3,3,1350,8000000,0
3,3,1322,9000000,0
4,3,1635,10627500,0
3,3,1850,14800000,0
3,3,1325,9275000,0
4,4,5000,60000000,0
3,3,1220,9500000,0
3,4,2025,19000000,0
3,3,1275,8600000,0
4,4,1570,12500000,0
2,2,800,5600000,0
2,2,950,6100000,0
2,2,1000,6500000,0
2,2,975,6300000,0
2,2,1000,6500000,0
2,2,980,5500000,0
2,2,975,6337500,0
3,3,1285,11000000,0
3,4,1610,23000000,0
4,5,3640,24000000,0
2,2,650,2800000,0
3,3,1550,8600000,0
2,2,930,5200000,0
2,2,930,5200000,0
4,4,2400,26000000,0
3,3,1400,6300000,0
4,4,3600,39000000,0
3,3,1310,9200000,0
2,2,850,2500000,0
3,2,1256,6500000,0
3,3,1200,6050000,0
3,3,1530,15500000,0
2,2,650,4600000,0
3,3,2150,18500000,0
3,4,1316,13500000,0
3,3,1325,6500000,0
3,3,1852,21500000,0
3,3,1210,6000000,0
3,4,1654,11000000,0
3,3,1275,12500000,0
4,4,2600,42900000,0
4,4,1955,25237500,0
3,3,1609,12800000,0
3,3,1500,12800000,0
3,3,1207,12870000,0
3,3,1400,6500000,0
3,3,1430,8580000,0
3,3,1310,7205000,0
2,2,650,2200000,0
2,2,850,5500000,0
3,3,3100,46500000,0
4,3,1600,12000000,0
3,3,1375,12000000,0
2,2,1050,5500000,0
2,2,130,4200000,0
3,3,1450,8675000,0
3,3,1400,8400000,0
3,3,1180,6500000,0
2,2,780,2730000,0
3,2,1100,4950000,0
3,2,1100,4950000,0
3,2,1100,4950000,0
3,2,1100,4950000,0
3,2,1100,4950000,0
3,3,1096,6600000,0
3,3,1365,7507500,0
3,3,1365,7507500,0
3,3,1365,7507500,0
3,4,2415,25500000,0
2,2,810,3402000,0
3,3,1550,11500000,0
3,3,1050,3750000,0
4,4,4200,50400000,0
3,3,1400,6300000,0
3,3,1400,6300000,0
2,2,1000,4500000,0
4,3,1518,10000000,0
4,4,1250,12500000,0
4,4,2230,16000000,0
3,2,1200,6500000,0
3,3,1050,4500000,0
2,2,650,4225000,0
3,3,1400,6300000,0
3,3,1400,6300000,0
2,2,1000,4500000,0
3,3,1090,6540000,0
3,3,1463,5852000,0
3,3,1650,7500000,0
3,2,1125,4775000,0
3,2,1125,4775000,0
3,2,1150,4870000,0
2,2,600,2600000,0
2,2,650,2200000,0
3,3,1250,9000000,0
3,3,1250,15000000,0
3,3,1350,11000000,0
3,3,1350,9000000,0
3,3,1250,7000000,0
4,5,2500,22500000,0
4,5,2380,29000000,0
3,3,1100,6100000,0
3,3,1100,6100000,0
4,4,2500,22500000,0
3,4,1900,12350000,0
46,10,5000,72500000,0
46,10,5000,72500000,0
3,3,1910,22920000,0
3,3,1308,6600000,0
3,3,2268,47000000,0
2,2,780,4000000,0
3,4,1515,12877500,0
4,4,2500,35000000,0
3,3,1370,8500000,0
3,3,1260,10710000,0
3,3,1500,12750000,0
3,3,1750,19200000,0
3,3,1750,19200000,0
3,3,1070,7490000,0
3,2,970,5000000,0
3,3,1475,8850000,0
3,2,900,4000000,0
3,3,1260,8000000,0
3,3,1596,10374000,0
3,3,1350,10800000,0
3,3,1657,10500000,0
2,2,980,4500000,0
3,3,1370,7800000,0
